id,name,image
0a748745-2e53-4330-968a-cb1630f2c1d5,Abacate,avocado.png
12bc3f5c-b340-45de-980c-0abb8123506c,Maça,apple.png
b69e6698-ea3d-414c-b056-69a2e6e3c842,Bacon,bacon.png
f6c0f5d6-4f07-4ebe-873c-cd9a5be5e158,Banana,banana.png
5447d2d9-d4bb-449c-ac4a-82a86b3bbfb0,Brócolis,broccoli.png
549076e8-4e8a-4560-8db5-a211d2801f6b,Queijo,cheese.png
35a20259-dbd6-4663-aceb-fdff8dd3bfea,Coco,coconut.png
144a254b-7f7b-49bc-9369-9ceff7407b8a,Milho,corn.png
0c2b64c9-c318-4c45-9ea8-80b807527cd2,Pepino,cucumber.png
b6d3193a-452f-4fa7-af36-48593b74ae6b,Berinjela,eggplant.png
2ad8bc2d-3e7a-4988-af0c-9ec1f54b50fa,Alho,garlic.png
2cd7d5ca-aa87-4c9c-93be-fdbdd723a0b3,Mel,honey.png
4919d20e-6d1f-4197-8bdb-d3272dd39dd7,Kiwi,kiwi.png
1e1d1940-ac09-4a54-ad17-261f819b88f9,Carne,meat.png
048240c7-6853-4ac8-a5b0-6ae32aa0c41e,Cebola,onion.png
9a95ec57-c2f5-4be3-97df-af007c09b9f1,Panquecas,pancake.png
2c58f8eb-6fc7-41f7-b4f7-970f937d0d15,Massa,pasta.png
8c093e53-b0f0-42f3-b48f-6715257468f5,Ovo,eggs.png
e58f56f9-4948-469d-9e39-63919d0568d9,Batata,potatoes.png
2aa55beb-b33d-4252-b6b9-50d05cb40082,Lanche,snack.png
cc2402a4-3e14-4920-8328-3d4295dcd6b7,Morango,strawberry.png
570973db-c3a6-401d-ab20-df5854a05dd4,Tangirina,tangerine.png
1aeab857-e984-47be-82f9-3f793ffc353e,Tomate,tomato.png
b820d038-2f17-49a4-aef9-d5e3f8d660b6,Alface,vegetables.png
d3bb6b96-a451-47e6-97b7-4218ad69eec5,Melancia,watermelon.png