id,recipe_id,description,step
f22bd70d-7d51-4ba5-840a-242b2647ec8c,fe969106-8392-4ea5-8b07-f7fa96e1858e,"Bata no liquidificador 1 banana, os ovos, o leite e o óleo.",1
7c0abfb1-5676-4db7-86a6-acf18868ad23,fe969106-8392-4ea5-8b07-f7fa96e1858e,"Depois, acrescente o açúcar e bata mais um pouco.",2
1e7acb1c-b1e8-4c46-ba53-fc8fe2eb2422,fe969106-8392-4ea5-8b07-f7fa96e1858e,"Em uma vasilha coloque a farinha de trigo, a aveia e o fermento e acrescente a mistura do liquidificador, mexendo bem com uma colher de pau.",3
eeaf2419-ad2e-42a1-b2e3-f84803b3c7c1,fe969106-8392-4ea5-8b07-f7fa96e1858e,"Em uma forma média quadrada, untada e enfarinhada, coloque metade da massa, as 5 bananas restantes cortadas em rodelas finas e salpique a canela.",4
a45121fc-f84e-4188-956a-9a7e6e711463,fe969106-8392-4ea5-8b07-f7fa96e1858e,Coloque o restante da massa e leve ao forno quente.,5
7482ec15-c389-4492-ad22-76081cac04db,c6a69743-6e43-4994-b546-90aa44fc033e,Unte um refratário com margarina.,1
dc077e14-9387-454e-8852-e871f8447671,fe969106-8392-4ea5-8b07-f7fa96e1858e,Forre o fundo com 6 fatias de pão de forma.,2
615b8680-50f5-4c5a-9b9e-3797e32df1e7,c6a69743-6e43-4994-b546-90aa44fc033e,"Colocar metade do molho de tomate temperado, presunto, camada de requeijão, metade da mussarela, restante do pão de forma, molho de tomate, creme de leite, mussarela, tomate em rodelas, orégano.",3
0fbfc457-a0f7-4897-8b3e-a28f551156bb,c6a69743-6e43-4994-b546-90aa44fc033e,Leve o refratário ao forno até a mussarela derreter (fiz no micro-ondas),4
64ba1e3f-a538-4f1e-ae9a-de4346f28979,179daa5e-0665-453e-985d-040d2914e3f0,Coloque todos os ingredientes em um prato e misture-os até que fiquem homogêneos.,1
6eb6ba52-d3fd-4b70-9f0f-9f99703775c7,179daa5e-0665-453e-985d-040d2914e3f0,"Depois, aqueça um pouquinho uma frigideira sem óleo, sem azeite e sem manteiga, somente a frigideira e logo após coloque a massa.",2
83dc267c-8cc7-4699-8c25-f6d28dd1da38,179daa5e-0665-453e-985d-040d2914e3f0,"Espere um tempo até que ela fique um pouco douradinha embaixo, se preferir virar a crepioca, vire-a com a ajuda de uma colher ou garfo.",3
f1e15575-d6f2-45b5-9278-faf63f7208e3,179daa5e-0665-453e-985d-040d2914e3f0,"Ou coloque uma tampa que cubra toda a frigideira e espere ela cozinhar até o ponto do seu gosto, mais queimadinho ou mais branquinho.",4